PERSON_ID,DISPLAY_LAST_COMMA_FIRST,DISPLAY_FIRST_LAST,ROSTERSTATUS,FROM_YEAR,TO_YEAR,PLAYERCODE,PLAYER_SLUG,TEAM_ID,TEAM_CITY,TEAM_NAME,TEAM_ABBREVIATION,TEAM_SLUG,TEAM_CODE,GAMES_PLAYED_FLAG,OTHERLEAGUE_EXPERIENCE_CH,SEASON
1627747,"LeVert, Caris",Caris LeVert,1,2016,2026,caris_levert,caris_levert,1610612765,Detroit,Pistons,DET,pistons,pistons,Y,00,2025-26
202695,"Leonard, Kawhi",Kawhi Leonard,1,2011,2026,kawhi_leonard,kawhi_leonard,1610612746,LA,Clippers,LAC,clippers,clippers,Y,00,2025-26
1642502,"Leons, Malevy",Malevy Leons,1,2024,2026,malevy_leons,malevy_leons,1610612744,Golden State,Warriors,GSW,warriors,warriors,Y,11,2025-26
1630604,"Liddell, E.J.",E.J. Liddell,1,2022,2025,ej_liddell,ej_liddell,1610612751,Brooklyn,Nets,BKN,nets,nets,Y,11,2025-26
1641726,"Lively II, Dereck",Dereck Lively II,1,2023,2026,dereck_lively_ii,dereck_lively_ii,1610612742,Dallas,Mavericks,DAL,mavericks,mavericks,Y,00,2025-26
1630587,"Livers, Isaiah",Isaiah Livers,1,2021,2026,isaiah_livers,isaiah_livers,1610612756,Phoenix,Suns,PHX,suns,suns,Y,01,2025-26
1641753,"Livingston, Chris",Chris Livingston,0,2023,2025,chris_livingston,chris_livingston,0,,,,,,Y,11,2025-26
1626172,"Looney, Kevon",Kevon Looney,1,2015,2026,kevon_looney,kevon_looney,1610612740,New Orleans,Pelicans,NOP,pelicans,pelicans,Y,01,2025-26
201572,"Lopez, Brook",Brook Lopez,1,2008,2026,brook_lopez,brook_lopez,1610612746,LA,Clippers,LAC,clippers,clippers,Y,00,2025-26
1631126,"Love, Caleb",Caleb Love,1,2025,2026,caleb_love,caleb_love,1610612757,Portland,Trail Blazers,POR,blazers,blazers,Y,11,2025-26
201567,"Love, Kevin",Kevin Love,1,2008,2026,kevin_love,kevin_love,1610612762,Utah,Jazz,UTA,jazz,jazz,Y,00,2025-26
1643133,"Lovering, Lawson",Lawson Lovering,0,2025,2025,lawson_lovering,lawson_lovering,0,,,,,,Y,11,2025-26
200768,"Lowry, Kyle",Kyle Lowry,1,2006,2026,kyle_lowry,kyle_lowry,1610612755,Philadelphia,76ers,PHI,sixers,sixers,Y,00,2025-26
1642863,"Maluach, Khaman",Khaman Maluach,1,2025,2026,tmp_khaman_maluach,khaman_maluach,1610612756,Phoenix,Suns,PHX,suns,suns,Y,11,2025-26
1630572,"Mamukelashvili, Sandro",Sandro Mamukelashvili,1,2021,2026,sandro_mamukelashvili,sandro_mamukelashvili,1610612761,Toronto,Raptors,TOR,raptors,raptors,Y,01,2025-26
1629611,"Mann, Terance",Terance Mann,1,2019,2026,terance_mann,terance_mann,1610612751,Brooklyn,Nets,BKN,nets,nets,Y,01,2025-26
1630544,"Mann, Tre",Tre Mann,1,2021,2026,tre_mann,tre_mann,1610612766,Charlotte,Hornets,CHA,hornets,hornets,Y,01,2025-26
1628374,"Markkanen, Lauri",Lauri Markkanen,1,2017,2026,lauri_markkanen,lauri_markkanen,1610612762,Utah,Jazz,UTA,jazz,jazz,Y,00,2025-26
1630230,"Marshall, Naji",Naji Marshall,1,2020,2026,naji_marshall,naji_marshall,1610612742,Dallas,Mavericks,DAL,mavericks,mavericks,Y,01,2025-26
1642918,"Martin, Alijah",Alijah Martin,1,2025,2026,alijah_martin,alijah_martin,1610612761,Toronto,Raptors,TOR,raptors,raptors,Y,11,2025-26
1628997,"Martin, Caleb",Caleb Martin,1,2019,2026,caleb_martin,caleb_martin,1610612742,Dallas,Mavericks,DAL,mavericks,mavericks,Y,01,2025-26
1628998,"Martin, Cody",Cody Martin,0,2019,2025,cody_martin,cody_martin,0,,,,,,Y,11,2025-26
1631213,"Martin, Tyrese",Tyrese Martin,1,2022,2026,tyrese_martin,tyrese_martin,1610612755,Philadelphia,76ers,PHI,sixers,sixers,Y,11,2025-26
1642942,"Mashack, Jahmai",Jahmai Mashack,1,2025,2026,jahmai_mashack,jahmai_mashack,1610612763,Memphis,Grizzlies,MEM,grizzlies,grizzlies,Y,11,2025-26
1629726,"Mathews, Garrison",Garrison Mathews,0,2019,2025,garrison_mathews,garrison_mathews,0,,,,,,Y,01,2025-26
1631097,"Mathurin, Bennedict",Bennedict Mathurin,1,2022,2026,bennedict_mathurin,bennedict_mathurin,1610612746,LA,Clippers,LAC,clippers,clippers,Y,00,2025-26
1631255,"Matković, Karlo",Karlo Matković,1,2024,2026,karlo_matkovic,karlo_matković,1610612740,New Orleans,Pelicans,NOP,pelicans,pelicans,Y,01,2025-26
1630178,"Maxey, Tyrese",Tyrese Maxey,1,2020,2026,tyrese_maxey,tyrese_maxey,1610612755,Philadelphia,76ers,PHI,sixers,sixers,Y,00,2025-26
1643024,"Mañon, Chris",Chris Mañon,1,2025,2026,chris_manon,chris_mañon,1610612747,Los Angeles,Lakers,LAL,lakers,lakers,Y,11,2025-26
1643016,"Mbeng, Bez",Bez Mbeng,1,2025,2026,bez_mbeng,bez_mbeng,1610612762,Utah,Jazz,UTA,jazz,jazz,Y,11,2025-26
1630540,"McBride, Miles",Miles McBride,1,2021,2026,miles_mcbride,miles_mcbride,1610612752,New York,Knicks,NYK,knicks,knicks,Y,01,2025-26
1642272,"McCain, Jared",Jared McCain,1,2024,2026,tmp_jared_mccain,jared_mccain,1610612760,Oklahoma City,Thunder,OKC,thunder,thunder,Y,11,2025-26
1630644,"McClung, Mac",Mac McClung,1,2021,2025,mac_mcclung,mac_mcclung,1610612741,Chicago,Bulls,CHI,bulls,bulls,Y,11,2025-26
203468,"McCollum, CJ",CJ McCollum,1,2013,2026,cj_mccollum,cj_mccollum,1610612737,Atlanta,Hawks,ATL,hawks,hawks,Y,01,2025-26
